MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
20,RL,11394,Corner,StoneBr,1Fam,1Story,9,2,2010,Hip,VinylSd,Gd,PConc,1445,411,1856,GasA,1856,0,1856,1,0,1,1,1,1,Ex,3,834,113,0,0,6,2010,394432
60,RL,8123,Inside,Gilbert,1Fam,2Story,6,5,2000,Gable,VinylSd,TA,PConc,0,982,982,GasA,1007,793,1800,0,0,2,1,3,1,TA,2,463,100,63,0,6,2009,179000
50,RL,5000,Inside,SWISU,1Fam,1.5Fin,5,6,1924,Gable,BrkFace,TA,BrkTil,218,808,1026,GasA,1026,665,1691,0,0,2,0,3,1,Gd,1,308,0,0,242,5,2010,127000
20,FV,7200,Inside,Somerst,1Fam,1Story,7,5,2006,Gable,VinylSd,Gd,PConc,0,1293,1293,GasA,1301,0,1301,1,0,2,0,2,1,Gd,2,572,216,121,0,8,2006,187750
60,RL,9245,Inside,CollgCr,1Fam,2Story,7,5,2006,Gable,VinylSd,Gd,PConc,0,939,939,GasA,939,858,1797,0,0,2,1,3,1,Gd,2,639,144,53,0,4,2007,213500
45,RH,9000,Corner,SawyerW,1Fam,1.5Unf,6,3,1928,Gable,Wd Sdng,TA,BrkTil,0,784,784,GasA,784,0,784,0,0,1,0,2,1,TA,2,360,0,0,91,10,2009,76000
60,RL,53107,Corner,ClearCr,1Fam,2Story,6,5,1992,Gable,HdBoard,Gd,PConc,985,595,1580,GasA,1079,874,1953,1,0,2,1,3,1,Gd,2,501,216,231,0,6,2007,240000
120,RL,3182,Inside,Blmngtn,TwnhsE,1Story,8,5,2004,Gable,VinylSd,Gd,PConc,24,1232,1256,GasA,1269,0,1269,0,0,2,0,2,1,Gd,2,430,146,20,0,4,2010,192000
50,RL,8410,FR2,Edwards,1Fam,1.5Fin,5,3,1910,Gambrel,Wd Sdng,TA,PConc,0,658,658,GasA,658,526,1184,0,0,1,0,5,1,TA,0,0,0,151,0,5,2006,81000
80,RL,7200,Inside,Edwards,1Fam,SLvl,6,6,1976,Hip,MetalSd,TA,CBlock,631,410,1041,GasA,1125,0,1125,1,0,1,0,3,1,TA,1,352,296,0,0,10,2009,125000
20,RL,9382,CulDSac,CollgCr,1Fam,1Story,7,5,1999,Gable,VinylSd,Gd,PConc,0,1468,1468,GasA,1479,0,1479,0,0,2,0,3,1,Gd,2,577,120,25,0,7,2008,191000
60,RL,12474,Inside,NridgHt,1Fam,2Story,10,5,2007,Gable,VinylSd,Ex,PConc,1280,402,1682,GasA,1742,590,2332,1,0,2,1,3,1,Ex,3,846,196,134,0,8,2008,426000
50,RL,8405,Inside,Edwards,1Fam,1.5Fin,5,8,1900,Gable,MetalSd,TA,BrkTil,241,229,861,GasA,961,406,1367,1,0,1,0,4,1,TA,1,384,0,130,112,4,2008,119000
60,RL,12209,CulDSac,Mitchel,1Fam,2Story,6,5,2001,Gable,VinylSd,TA,PConc,690,114,804,GasA,804,1157,1961,1,0,2,1,3,1,Gd,2,560,125,192,0,6,2009,215000
20,RL,8339,Inside,NAmes,1Fam,1Story,5,7,1959,Gable,MetalSd,TA,Slab,0,0,0,GasA,882,0,882,0,0,1,0,3,1,TA,1,294,0,0,0,7,2007,106500
30,RL,7446,Corner,BrkSide,1Fam,1Story,4,5,1941,Gable,WdShing,TA,CBlock,266,522,788,GasA,788,0,788,0,0,1,0,2,1,TA,0,0,0,0,0,4,2006,100000
50,RL,10134,Inside,OldTown,1Fam,1.5Fin,5,6,1940,Gable,MetalSd,TA,CBlock,0,735,735,GasA,735,299,1034,0,0,1,0,2,1,TA,1,240,0,39,0,7,2007,109000
20,RL,9571,Inside,Edwards,1Fam,1Story,5,6,1956,Gable,Wd Sdng,TA,CBlock,739,405,1144,GasA,1144,0,1144,1,0,1,0,3,1,TA,1,596,44,0,0,6,2010,129000
20,RL,7200,Inside,CollgCr,1Fam,1Story,5,5,1972,Hip,MetalSd,TA,CBlock,777,117,894,GasA,894,0,894,0,0,1,0,2,1,TA,2,600,215,0,0,9,2009,123000
60,RL,7590,Inside,NAmes,1Fam,2Story,5,5,1962,Gable,VinylSd,TA,CBlock,540,324,864,GasA,876,936,1812,0,0,2,0,4,1,TA,1,264,0,168,0,7,2007,169500
30,RM,8967,Corner,IDOTRR,1Fam,1Story,5,2,1920,Gable,MetalSd,TA,BrkTil,0,961,961,GasA,1077,0,1077,0,0,1,0,2,1,TA,1,338,0,0,0,11,2007,67000
60,FV,8125,Inside,Somerst,1Fam,2Story,7,5,2006,Gable,CemntBd,Gd,PConc,812,280,1092,GasA,1112,438,1550,1,0,2,0,2,1,Gd,2,438,0,168,0,10,2009,241000
120,RL,14963,Inside,Veenker,TwnhsE,1Story,8,5,1996,Gable,BrkFace,Gd,PConc,786,474,1260,GasA,1288,0,1288,1,0,1,1,1,1,Ex,2,500,120,30,0,12,2008,245500
20,RL,8767,Inside,CollgCr,1Fam,1Story,7,5,2005,Gable,VinylSd,Gd,PConc,24,1286,1310,GasA,1310,0,1310,0,0,2,0,3,1,Gd,2,400,0,0,0,7,2006,164990
30,RL,10200,Inside,Sawyer,1Fam,1Story,5,8,1940,Gable,Wd Sdng,TA,PConc,0,672,672,GasA,672,0,672,0,0,1,0,2,1,TA,1,240,168,0,0,8,2008,108000
60,RL,12090,Corner,NoRidge,1Fam,2Story,8,5,1998,Hip,VinylSd,Gd,PConc,0,1141,1141,GasA,1165,1098,2263,0,0,2,1,4,1,Gd,2,420,144,123,0,7,2006,258000
60,RL,10364,Inside,Gilbert,1Fam,2Story,6,5,1995,Gable,MetalSd,TA,PConc,0,806,806,GasA,806,766,1572,0,0,2,1,3,1,TA,2,373,0,40,0,5,2007,168000
20,RL,9991,Corner,Sawyer,1Fam,1Story,4,4,1976,Gable,Plywood,TA,CBlock,1116,165,1281,GasA,1620,0,1620,1,0,2,0,3,1,TA,2,490,120,78,0,6,2009,150000
50,RL,10480,Inside,SWISU,1Fam,1.5Fin,6,5,1936,Gable,MetalSd,TA,BrkTil,0,1064,1064,GasA,1166,0,1639,0,0,1,0,3,1,TA,1,240,0,0,0,3,2008,115000
70,RL,15576,Inside,Crawfor,1Fam,2Story,6,7,1915,Gable,Wd Sdng,TA,BrkTil,0,840,840,GasA,840,840,1680,0,0,2,0,4,1,TA,1,308,0,0,160,3,2008,177000
60,RL,14154,Corner,NridgHt,1Fam,2Story,7,5,2006,Gable,VinylSd,Gd,PConc,0,1063,1063,GasA,1071,1101,2172,0,0,2,1,3,1,Gd,3,947,192,62,0,8,2007,280000
60,FV,10800,Inside,Somerst,1Fam,2Story,8,5,2007,Gable,VinylSd,Gd,PConc,789,245,1034,GasA,1050,1028,2078,1,0,2,1,3,1,Ex,3,836,0,102,0,4,2008,339750
20,RL,9571,Inside,Edwards,1Fam,1Story,5,3,1958,Gable,BrkComm,TA,CBlock,0,1276,1276,GasA,1276,0,1276,0,0,1,0,3,1,TA,1,350,0,0,0,6,2009,60000
190,RL,34650,Inside,Gilbert,2fmCon,1Story,5,5,1955,Hip,Wd Sdng,TA,CBlock,1056,0,1056,GasA,1056,0,1056,1,0,1,0,3,1,TA,2,572,264,0,0,1,2006,145000
20,FV,4403,Inside,Somerst,1Fam,1Story,7,5,2009,Gable,MetalSd,Ex,PConc,578,892,1470,GasA,1478,0,1478,1,0,2,1,2,1,Gd,2,484,0,144,0,6,2010,222000
30,RM,8960,Inside,OldTown,1Fam,1Story,5,6,1927,Gable,WdShing,TA,CBlock,0,1008,1008,GasA,1028,0,1028,0,0,1,0,2,1,TA,2,360,0,0,130,3,2010,115000
60,RL,11228,CulDSac,SawyerW,1Fam,2Story,7,5,1993,Gable,VinylSd,Gd,PConc,50,499,1080,GasA,1080,1017,2097,0,1,2,1,3,1,Gd,3,678,196,187,0,12,2008,228000
20,RL,8899,Inside,Gilbert,1Fam,1Story,7,5,2007,Gable,VinylSd,Gd,PConc,24,1316,1340,GasA,1340,0,1340,0,0,2,0,3,1,Gd,2,396,100,30,0,8,2007,181134
60,RL,7844,Inside,Sawyer,1Fam,2Story,6,7,1978,Hip,HdBoard,TA,CBlock,209,463,672,GasA,672,728,1400,0,0,1,1,3,1,TA,2,440,0,0,0,3,2006,149500
70,RL,22420,Inside,Crawfor,1Fam,2Story,6,6,1918,Hip,Wd Sdng,TA,BrkTil,1128,242,1370,GasW,1370,1254,2624,1,0,2,1,4,1,TA,3,864,0,0,0,11,2007,239000
50,RL,8160,Inside,Edwards,1Fam,1.5Fin,5,6,1940,Gable,MetalSd,TA,BrkTil,312,444,756,GasA,756,378,1134,1,0,1,1,3,1,TA,1,240,0,0,0,4,2007,126000
20,RL,8450,Inside,NAmes,1Fam,1Story,5,6,1968,Gable,VinylSd,TA,CBlock,775,281,1056,GasA,1056,0,1056,1,0,1,0,3,1,TA,1,304,0,85,184,7,2010,142000
90,RM,7060,Inside,Mitchel,Duplex,SFoyer,7,5,1997,Gable,VinylSd,TA,PConc,1309,35,1344,GasA,1344,0,1344,2,0,2,0,2,2,TA,4,784,0,0,0,11,2008,206300
20,RL,16635,FR2,NWAmes,1Fam,1Story,6,7,1977,Gable,CemntBd,Gd,CBlock,1246,356,1602,GasA,1602,0,1602,0,1,2,0,3,1,Gd,2,529,240,0,0,6,2009,215000
20,RL,21750,Inside,Mitchel,1Fam,1Story,5,5,1954,Hip,HdBoard,TA,CBlock,0,988,988,GasA,988,0,988,0,0,1,0,2,1,TA,2,520,0,0,0,2,2008,113000
60,RL,9200,Inside,NoRidge,1Fam,2Story,8,5,1998,Gable,VinylSd,Gd,PConc,986,484,1470,GasA,1470,1160,2630,1,0,2,1,4,1,Gd,3,696,0,66,0,6,2008,315000
20,RL,9000,Inside,NAmes,1Fam,1Story,6,5,1956,Gable,Wd Sdng,TA,CBlock,616,580,1196,GasA,1196,0,1196,1,0,1,0,2,1,TA,1,297,0,44,0,5,2008,139000
60,RM,3378,Inside,OldTown,1Fam,2Story,7,8,1946,Gable,HdBoard,TA,CBlock,0,651,651,GasA,707,682,1389,0,0,1,1,3,1,TA,1,240,0,0,126,9,2009,135000
80,RL,12800,Inside,SawyerW,1Fam,SLvl,7,5,1989,Gable,Wd Sdng,Gd,PConc,1518,0,1518,GasA,1644,0,1644,1,1,2,0,2,1,Gd,2,569,80,0,0,8,2009,275000
20,RL,8593,Inside,NAmes,1Fam,1Story,4,6,1957,Hip,MetalSd,TA,CBlock,288,619,907,GasA,907,0,907,0,0,1,0,3,1,TA,1,352,0,0,0,7,2008,109008
20,RL,6762,Inside,CollgCr,1Fam,1Story,7,5,2007,Gable,VinylSd,Gd,PConc,664,544,1208,GasA,1208,0,1208,1,0,2,0,2,1,Gd,2,628,105,54,0,9,2007,195400
20,RL,11457,Corner,Timber,1Fam,1Story,6,5,1988,Gable,HdBoard,TA,CBlock,1005,387,1392,GasA,1412,0,1412,1,0,2,0,3,1,Gd,2,576,0,0,169,3,2009,175000
160,RM,1680,Inside,BrDale,Twnhs,2Story,6,5,1971,Gable,HdBoard,TA,CBlock,387,96,483,GasA,483,504,987,0,0,1,1,2,1,TA,1,264,0,0,0,7,2008,85400
50,RM,5586,Inside,OldTown,1Fam,1.5Fin,6,7,1920,Gable,MetalSd,TA,BrkTil,0,901,901,GasA,1088,110,1198,0,0,1,0,4,1,TA,0,0,0,98,0,9,2008,79900
160,RM,1920,Inside,BrDale,TwnhsE,2Story,5,5,1971,Gable,HdBoard,TA,CBlock,471,294,765,GasA,765,600,1365,1,0,1,1,2,1,TA,2,440,240,36,0,8,2007,122500
60,RL,10839,Corner,Gilbert,1Fam,2Story,6,5,1997,Gable,VinylSd,TA,PConc,0,926,926,GasA,926,678,1604,0,0,2,1,3,1,TA,2,470,0,36,0,7,2008,181000
180,RM,1890,Inside,MeadowV,Twnhs,SFoyer,4,7,1972,Gable,CemntBd,TA,CBlock,495,135,630,GasA,630,0,630,1,0,1,0,1,1,TA,0,0,88,0,0,6,2008,81000
60,RL,10667,CulDSac,CollgCr,1Fam,2Story,7,6,1996,Gable,VinylSd,Gd,PConc,385,70,799,GasA,827,834,1661,1,0,2,1,3,1,Gd,2,550,158,61,0,4,2009,212000
50,RM,4400,Inside,OldTown,1Fam,1.5Fin,6,8,1920,Gable,Stucco,TA,BrkTil,0,648,648,GasA,734,384,1118,0,0,1,0,2,1,TA,2,440,0,0,0,10,2006,116000
45,RM,6000,Inside,BrkSide,1Fam,1.5Unf,6,7,1926,Gable,Wd Sdng,Gd,PConc,0,884,884,GasA,904,0,904,0,0,1,0,2,1,TA,1,180,0,0,105,1,2009,119000
30,RL,4280,Inside,Crawfor,1Fam,1Story,5,6,1913,Gable,WdShing,TA,PConc,365,75,440,GasA,694,0,694,0,0,1,0,2,1,Gd,1,352,0,0,34,3,2007,90350
50,RL,12354,Corner,Edwards,1Fam,1.5Fin,6,8,1920,Gable,Wd Sdng,TA,BrkTil,0,684,684,GasA,684,512,1196,0,0,1,0,3,1,Gd,2,528,0,46,0,8,2009,110000
20,RL,15431,Inside,NridgHt,1Fam,1Story,10,5,2008,Hip,VinylSd,Ex,PConc,1767,788,3094,GasA,2402,0,2402,1,0,2,0,2,1,Ex,3,672,0,72,0,4,2009,555000
90,RL,12108,Inside,Edwards,Duplex,1Story,4,4,1955,Gable,VinylSd,TA,CBlock,133,1307,1440,GasA,1440,0,1440,0,0,2,0,4,2,Fa,0,0,0,0,0,9,2008,118000
50,RM,6240,Inside,BrkSide,1Fam,1.5Fin,5,7,1930,Gable,MetalSd,TA,PConc,0,1078,1078,GasA,1128,445,1573,0,0,2,0,3,1,TA,2,360,0,0,0,6,2008,162900
120,RL,3922,Inside,Blmngtn,TwnhsE,1Story,7,5,2006,Gable,WdShing,Gd,PConc,0,1258,1258,GasA,1258,0,1258,0,0,2,0,2,1,Gd,3,648,144,16,0,6,2007,172500
60,RL,8750,Inside,CollgCr,1Fam,2Story,7,5,1994,Gable,VinylSd,Gd,PConc,642,273,915,GasA,933,975,1908,1,0,2,1,4,1,Gd,2,493,144,133,0,7,2008,210000
20,RL,9855,Corner,Edwards,1Fam,1Story,6,5,1956,Hip,Wd Sdng,TA,CBlock,0,1436,1436,GasA,1689,0,1689,0,0,1,0,3,1,TA,2,480,0,0,0,11,2009,127500
20,RL,16492,Corner,NAmes,1Fam,1Story,6,6,1966,Gable,BrkFace,Gd,CBlock,247,557,1517,GasA,1888,0,1888,0,0,2,1,2,1,Gd,2,578,0,0,0,6,2010,190000
60,RL,11214,Corner,Gilbert,1Fam,2Story,7,5,1998,Gable,VinylSd,Gd,PConc,0,930,930,GasA,956,930,1886,0,0,2,1,4,1,Gd,2,431,89,0,0,7,2006,199900
50,RM,8600,Inside,IDOTRR,1Fam,1.5Fin,6,6,1937,Gable,MetalSd,TA,BrkTil,0,780,780,GasA,780,596,1376,0,0,2,0,3,1,TA,1,198,0,0,0,6,2006,119500
50,RM,6000,Inside,OldTown,1Fam,1.5Fin,3,7,1948,Gable,MetalSd,TA,CBlock,331,318,649,GasA,679,504,1183,0,0,1,1,2,1,TA,1,308,0,176,0,6,2007,120000
30,RM,5684,Inside,OldTown,1Fam,1Story,6,8,1930,Hip,Wd Sdng,TA,BrkTil,0,813,813,GasA,813,0,813,0,0,1,0,2,1,Gd,1,270,0,113,0,6,2006,110000
20,RL,70761,Inside,ClearCr,1Fam,1Story,7,5,1975,Gable,Plywood,TA,CBlock,655,878,1533,GasA,1533,0,1533,1,0,2,0,2,1,Gd,2,576,200,54,0,12,2006,280000
60,RL,9303,Corner,Timber,1Fam,2Story,6,5,1996,Hip,VinylSd,Gd,PConc,742,130,872,GasA,888,868,1756,1,0,2,1,3,1,TA,2,422,144,122,0,7,2007,204000
60,FV,9000,Inside,Somerst,1Fam,2Story,8,5,2008,Gable,VinylSd,Gd,PConc,0,768,768,GasA,786,804,1590,0,0,2,1,3,1,Gd,2,676,0,30,0,6,2009,210000
90,RL,9297,Inside,Mitchel,Duplex,1Story,5,5,1976,Gable,Plywood,TA,CBlock,1606,122,1728,GasA,1728,0,1728,2,0,2,0,4,2,TA,2,560,0,0,0,7,2006,188000
20,RL,9600,Inside,NWAmes,1Fam,1Story,7,6,1973,Hip,HdBoard,TA,CBlock,916,326,1242,GasA,1242,0,1242,0,0,1,1,3,1,TA,2,528,0,0,0,9,2007,175500
70,RM,4571,Inside,OldTown,1Fam,2Story,5,5,1916,Gable,AsbShng,TA,BrkTil,0,624,624,GasA,624,720,1344,0,0,1,0,4,1,TA,3,513,0,0,96,5,2008,98000
20,RL,53227,CulDSac,ClearCr,1Fam,1Story,4,6,1954,Flat,Plywood,TA,CBlock,1116,248,1364,GasA,1663,0,1663,1,0,1,0,2,1,Gd,2,529,224,137,0,3,2008,256000
70,RM,5100,Inside,OldTown,1Fam,2Story,8,7,1925,Hip,Stucco,TA,PConc,0,588,588,GasA,833,833,1666,0,0,1,0,3,1,Gd,1,228,192,63,0,6,2008,161000
50,RL,7015,Corner,BrkSide,1Fam,1.5Fin,5,4,1950,Gable,MetalSd,TA,CBlock,185,524,709,GasA,979,224,1203,1,0,1,0,3,1,Gd,1,352,0,0,248,7,2009,110000
60,FV,8004,Inside,Somerst,1Fam,2Story,8,5,2009,Gable,VinylSd,Gd,PConc,544,288,832,GasA,832,1103,1935,1,0,2,1,3,1,TA,2,552,0,150,0,12,2009,263435
70,RL,7200,Inside,SWISU,1Fam,2Story,7,9,1936,Gable,Wd Sdng,Gd,PConc,350,0,560,GasA,575,560,1135,1,0,1,0,3,1,Gd,2,576,256,0,0,4,2009,155000
20,RL,8281,Inside,Sawyer,1Fam,1Story,5,5,1965,Gable,MetalSd,TA,CBlock,553,0,864,GasA,864,0,864,0,0,1,0,3,1,TA,1,360,0,0,236,12,2009,62383
70,RL,11988,Inside,Crawfor,1Fam,2Story,6,7,1934,Hip,Stucco,TA,CBlock,326,389,715,GasA,849,811,1660,0,0,1,1,3,1,TA,1,240,0,0,0,8,2008,188700
20,RL,8430,Inside,CollgCr,1Fam,1Story,5,5,1978,Gable,HdBoard,TA,CBlock,616,424,1040,GasA,1040,0,1040,0,0,2,0,3,1,TA,0,0,0,0,0,8,2009,124000
120,RM,3072,Inside,Blmngtn,TwnhsE,1Story,7,5,2004,Hip,VinylSd,Gd,PConc,0,1375,1375,GasA,1414,0,1414,0,0,2,0,2,1,Gd,2,398,144,20,0,5,2006,178740
20,RL,10628,Inside,NAmes,1Fam,1Story,7,5,1970,Flat,Plywood,TA,CBlock,778,499,1277,GasA,1277,0,1277,1,0,1,0,2,1,TA,2,526,0,0,0,4,2007,167000
70,RL,9480,Inside,NAmes,1Fam,2Story,5,7,1942,Gable,MetalSd,TA,CBlock,386,342,728,GasA,888,756,1644,0,0,1,1,3,1,Gd,1,312,168,0,0,6,2007,146500
20,RL,11428,Inside,NridgHt,1Fam,1Story,8,5,2006,Gable,VinylSd,Gd,PConc,0,1626,1626,GasA,1634,0,1634,0,0,2,0,3,1,Gd,3,866,0,44,0,5,2007,250000
60,RL,9291,Corner,SawyerW,1Fam,2Story,6,5,1993,Gable,HdBoard,Gd,PConc,426,406,832,GasA,832,878,1710,0,0,2,1,3,1,Gd,2,506,144,70,0,6,2008,187000
120,RL,6820,Corner,StoneBr,TwnhsE,1Story,8,5,1985,Gable,HdBoard,Gd,PConc,368,0,1488,GasA,1502,0,1502,1,0,1,1,1,1,Gd,2,528,0,54,0,6,2010,212000
60,RL,11952,Inside,NWAmes,1Fam,2Story,7,6,1977,Mansard,WdShing,TA,CBlock,0,808,808,GasA,1161,808,1969,0,0,2,1,3,1,TA,2,534,0,0,0,11,2007,190000
180,RM,3675,Inside,Edwards,TwnhsE,SLvl,6,5,2005,Gable,VinylSd,TA,PConc,459,88,547,GasA,1072,0,1072,1,0,1,0,2,1,TA,2,525,0,28,0,6,2008,148000
20,RL,14977,Inside,NridgHt,1Fam,1Story,8,5,2006,Gable,VinylSd,Gd,PConc,1350,626,1976,GasA,1976,0,1976,1,0,2,0,2,1,Gd,3,908,250,63,0,7,2007,440000
120,RL,5330,Inside,StoneBr,TwnhsE,1Story,8,5,2000,Gable,CemntBd,Gd,PConc,1196,298,1494,GasA,1652,0,1652,1,0,2,0,2,1,Ex,2,499,96,48,0,8,2007,251000
20,RL,8480,Corner,Sawyer,1Fam,1Story,5,6,1963,Hip,HdBoard,TA,CBlock,630,340,970,GasA,970,0,970,1,0,1,0,2,1,TA,2,624,0,24,0,7,2007,132500
20,RL,13125,Inside,CollgCr,1Fam,1Story,6,5,1997,Gable,VinylSd,TA,PConc,994,484,1478,GasA,1493,0,1493,1,0,2,0,3,1,Gd,2,508,140,39,0,4,2008,208900
60,RL,13693,Inside,NridgHt,1Fam,2Story,9,5,2006,Hip,VinylSd,Ex,PConc,0,2153,2153,GasA,2069,574,2643,0,0,2,1,3,1,Ex,3,694,414,84,0,3,2007,380000
20,RL,10637,Inside,CollgCr,1Fam,1Story,8,5,2007,Hip,VinylSd,Gd,PConc,1288,417,1705,GasA,1718,0,1718,1,0,2,0,3,1,Gd,3,826,208,44,0,9,2009,297000
30,RM,5925,Inside,OldTown,1Fam,1Story,4,7,1937,Hip,Stucco,TA,BrkTil,168,739,907,GasA,1131,0,1131,0,0,1,0,2,1,TA,2,672,0,72,0,3,2007,89471
20,RL,16033,FR2,NridgHt,1Fam,1Story,9,5,2004,Hip,VinylSd,Gd,PConc,1261,572,1833,GasA,1850,0,1850,1,0,2,0,3,1,Gd,3,772,519,112,0,3,2006,326000
20,RL,11846,Inside,NridgHt,1Fam,1Story,9,5,2003,Hip,VinylSd,Gd,PConc,1567,225,1792,GasA,1792,0,1792,1,0,2,0,2,1,Ex,3,874,206,49,0,8,2006,374000
70,RM,2500,Corner,OldTown,1Fam,2Story,7,8,1915,Gable,Stucco,Gd,PConc,299,611,910,GasA,916,910,1826,1,0,1,1,4,1,Ex,1,164,0,0,0,6,2009,155000
120,RM,4500,FR2,Mitchel,Twnhs,1Story,6,5,1998,Hip,VinylSd,TA,PConc,897,319,1216,GasA,1216,0,1216,1,0,2,0,2,1,TA,2,402,0,125,0,5,2006,164000
20,RL,7758,Corner,Sawyer,1Fam,1Story,5,7,1962,Gable,HdBoard,TA,CBlock,588,411,999,GasA,999,0,999,1,0,1,0,3,1,Gd,1,264,0,132,0,3,2007,132500
20,RL,9600,Inside,NAmes,1Fam,1Story,5,7,1950,Gable,MetalSd,Gd,CBlock,607,506,1113,GasA,1113,0,1113,0,0,1,0,3,1,Gd,1,264,0,80,120,7,2009,147000
20,RL,10289,Inside,NAmes,1Fam,1Story,5,7,1965,Hip,MetalSd,TA,CBlock,836,237,1073,GasA,1073,0,1073,1,0,1,1,3,1,TA,2,515,0,0,0,6,2007,156000
20,RL,12243,Inside,NWAmes,1Fam,1Story,5,6,1971,Gable,Plywood,TA,CBlock,998,486,1484,GasA,1484,0,1484,0,0,2,0,3,1,TA,2,487,224,0,0,2,2007,175000
190,RL,10800,Corner,OldTown,2fmCon,1.5Fin,5,4,1900,Gable,Wd Sdng,TA,CBlock,664,290,954,GasA,1766,648,2414,0,0,2,0,3,2,TA,2,520,142,0,0,5,2006,160000
180,RM,1526,Inside,MeadowV,Twnhs,SFoyer,4,8,1970,Gable,CemntBd,TA,CBlock,515,115,630,GasA,630,0,630,1,0,1,0,1,1,Gd,1,286,0,0,0,5,2009,86000
160,RM,2665,Inside,MeadowV,TwnhsE,2Story,5,6,1976,Gable,CemntBd,TA,PConc,0,264,264,GasA,616,688,1304,0,0,1,1,3,1,TA,1,336,141,24,0,6,2008,115000
50,RL,9490,Inside,NAmes,1Fam,1.5Fin,6,7,1941,Gable,Wd Sdng,TA,CBlock,403,238,806,GasA,958,620,1578,1,0,1,0,3,1,Fa,1,240,0,0,32,8,2006,133000
60,RL,15578,Corner,Gilbert,1Fam,2Story,6,5,2006,Gable,VinylSd,Gd,PConc,0,728,728,GasA,728,728,1456,0,0,2,1,3,1,TA,2,429,0,0,0,5,2006,172785
20,RL,7931,Inside,NAmes,1Fam,1Story,5,6,1960,Gable,BrkFace,TA,CBlock,374,363,1269,GasA,1269,0,1269,0,0,1,1,3,1,TA,1,308,0,0,0,6,2008,155000
30,RM,5784,Inside,OldTown,1Fam,1Story,5,8,1938,Gable,MetalSd,TA,BrkTil,0,190,190,GasA,886,0,886,0,0,1,0,2,1,TA,1,273,144,20,80,12,2009,91300
30,C (all),7879,Inside,IDOTRR,1Fam,1Story,4,5,1920,Gable,Wd Sdng,TA,CBlock,495,225,720,GasA,720,0,720,0,0,1,0,2,1,TA,0,0,0,523,115,11,2009,34900
20,RL,12692,Inside,NoRidge,1Fam,1Story,8,5,1992,Hip,BrkFace,Gd,PConc,1231,1969,3200,GasA,3228,0,3228,1,0,3,0,4,1,Gd,2,546,264,75,291,5,2007,430000
50,RL,9120,Inside,BrkSide,1Fam,1.5Fin,7,6,1925,Gable,Wd Sdng,TA,PConc,329,697,1026,GasA,1133,687,1820,1,0,2,0,4,1,TA,1,240,0,100,0,6,2008,184000
20,RL,7800,Inside,Sawyer,1Fam,1Story,5,7,1967,Hip,HdBoard,TA,PConc,450,414,864,GasA,899,0,899,0,0,1,0,3,1,Gd,1,288,64,0,0,6,2009,130000
20,RL,7535,Inside,NAmes,1Fam,1Story,5,7,1958,Gable,MetalSd,TA,CBlock,111,522,912,GasA,912,0,912,0,1,1,0,2,1,TA,1,297,12,285,0,6,2007,120000
160,RM,1890,Inside,BrDale,Twnhs,2Story,6,5,1973,Gable,HdBoard,TA,CBlock,356,316,672,GasA,672,546,1218,0,0,1,1,3,1,TA,1,264,144,28,0,5,2007,113000
60,FV,9803,Inside,Somerst,1Fam,2Story,7,5,2005,Gable,VinylSd,Gd,PConc,400,466,866,GasA,866,902,1768,0,0,2,1,3,1,Gd,2,603,0,108,0,2,2008,226700
20,RL,9170,Corner,Edwards,1Fam,1Story,5,7,1965,Hip,MetalSd,TA,CBlock,698,420,1214,GasA,1214,0,1214,1,0,1,0,2,1,TA,2,461,0,0,184,4,2007,140000
20,RL,15602,Inside,Crawfor,1Fam,1Story,7,8,1959,Gable,BrkFace,TA,CBlock,1247,254,1501,GasA,1801,0,1801,1,0,2,0,1,1,TA,2,484,0,54,0,3,2010,289000
160,RL,2308,Inside,NPkVill,TwnhsE,2Story,6,5,1974,Gable,Plywood,TA,CBlock,257,103,855,GasA,855,467,1322,0,1,2,1,3,1,TA,2,440,260,0,0,6,2009,147000
90,RM,7596,Inside,OldTown,Duplex,2Story,5,5,1952,Hip,Wd Sdng,TA,CBlock,0,960,960,GasA,960,1000,1960,0,0,2,0,4,2,TA,2,400,0,0,0,7,2009,124500
60,RL,9554,Inside,SawyerW,1Fam,2Story,8,5,1993,Gable,VinylSd,Gd,PConc,380,397,777,GasA,1065,846,1911,0,0,2,1,3,1,Gd,2,471,182,81,0,9,2006,215000
20,FV,7862,Inside,Somerst,1Fam,1Story,6,5,2009,Gable,VinylSd,Gd,PConc,27,1191,1218,GasA,1218,0,1218,0,0,2,0,2,1,Gd,2,676,0,102,0,9,2009,208300
70,RM,9600,Inside,OldTown,1Fam,2Story,7,9,1928,Gambrel,MetalSd,TA,BrkTil,141,548,689,GasA,689,689,1378,0,0,2,0,3,1,Gd,2,360,0,0,116,10,2008,161000
