MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,SalePrice
85,RL,7540,CulDSac,Mitchel,1Fam,SFoyer,6,6,1978,Gable,VinylSd,None,0,CBlock,773,115,888,Ex,912,0,912,1,0,1,2,1,TA,156000
50,RL,9144,Inside,BrkSide,1Fam,1.5Fin,5,5,1940,Gable,MetalSd,None,0,CBlock,399,484,883,Gd,988,517,1505,1,0,1,3,1,TA,145000
85,RL,7301,Corner,Edwards,1Fam,SFoyer,7,5,2003,Gable,HdBoard,BrkFace,500,Slab,0,0,0,Ex,495,1427,1922,0,0,3,4,1,Gd,198500
160,RM,1680,Inside,BrDale,Twnhs,2Story,6,8,1972,Gable,HdBoard,BrkFace,510,CBlock,162,321,483,Gd,483,504,987,0,0,1,2,1,Gd,118000
60,RL,18800,FR2,NWAmes,1Fam,2Story,6,5,1976,Gable,HdBoard,BrkFace,120,PConc,712,84,796,TA,790,784,1574,1,0,2,3,1,TA,190000
70,RM,10690,Inside,IDOTRR,1Fam,2Story,5,7,1920,Hip,VinylSd,None,0,CBlock,456,216,672,Gd,672,672,1344,0,0,1,3,1,TA,147000
20,RL,9500,Inside,NAmes,1Fam,1Story,6,5,1963,Gable,Plywood,BrkFace,247,CBlock,609,785,1394,Gd,1394,0,1394,1,0,1,3,1,TA,159000
80,RL,9150,Corner,NAmes,1Fam,SLvl,6,5,1962,Gable,Plywood,BrkFace,305,CBlock,371,728,1099,Gd,1431,0,1431,0,1,1,3,1,TA,165000
20,RL,7800,Inside,NAmes,1Fam,1Story,5,6,1954,Gable,HdBoard,BrkFace,200,PConc,540,728,1268,Gd,1268,0,1268,0,0,1,2,1,TA,132000
20,RL,9830,Corner,NAmes,1Fam,1Story,5,7,1959,Gable,Wd Sdng,None,0,CBlock,72,733,1063,Ex,1287,0,1287,1,0,1,3,1,Gd,162000
60,RL,8121,Inside,Gilbert,1Fam,2Story,6,5,2000,Gable,VinylSd,None,0,PConc,0,953,953,Ex,953,711,1664,0,0,2,3,1,TA,172400
50,RL,17120,Inside,ClearCr,1Fam,1.5Fin,4,4,1959,Gable,WdShing,None,0,CBlock,0,0,0,TA,1120,468,1588,0,0,2,4,1,TA,134432
120,RL,7175,Inside,SawyerW,TwnhsE,1Story,6,5,1984,Gable,Plywood,None,0,CBlock,623,0,744,TA,752,0,752,1,0,1,2,1,TA,125000
20,RL,10634,Inside,NAmes,1Fam,1Story,5,6,1953,Gable,MetalSd,None,0,PConc,428,0,608,TA,1319,0,1319,1,0,1,3,1,TA,123000
60,RL,8200,Inside,CollgCr,1Fam,2Story,7,5,2003,Gable,VinylSd,None,0,PConc,0,847,847,Ex,847,1081,1928,0,0,2,4,1,Gd,219500
30,RL,10020,Inside,Edwards,1Fam,1Story,1,1,1922,Gable,Wd Sdng,None,0,BrkTil,350,333,683,Gd,904,0,904,1,0,0,1,1,Fa,61000
85,RL,8846,CulDSac,CollgCr,1Fam,SFoyer,5,5,1996,Gable,VinylSd,None,0,PConc,298,572,870,Ex,914,0,914,0,0,1,2,1,TA,148000
60,FV,11143,Corner,Somerst,1Fam,2Story,8,5,2004,Gable,CemntBd,None,0,PConc,0,1580,1580,Ex,1580,886,2466,0,0,3,4,1,Gd,340000
20,RL,11394,Corner,StoneBr,1Fam,1Story,9,2,2010,Hip,VinylSd,Stone,350,PConc,1445,411,1856,Ex,1856,0,1856,1,0,1,1,1,Ex,394432
60,RL,8123,Inside,Gilbert,1Fam,2Story,6,5,2000,Gable,VinylSd,BrkFace,16,PConc,0,982,982,Ex,1007,793,1800,0,0,2,3,1,TA,179000
50,RL,5000,Inside,SWISU,1Fam,1.5Fin,5,6,1924,Gable,BrkFace,None,0,BrkTil,218,808,1026,TA,1026,665,1691,0,0,2,3,1,Gd,127000
20,FV,7200,Inside,Somerst,1Fam,1Story,7,5,2006,Gable,VinylSd,None,0,PConc,0,1293,1293,Ex,1301,0,1301,1,0,2,2,1,Gd,187750
60,RL,9245,Inside,CollgCr,1Fam,2Story,7,5,2006,Gable,VinylSd,None,0,PConc,0,939,939,Ex,939,858,1797,0,0,2,3,1,Gd,213500
45,RH,9000,Corner,SawyerW,1Fam,1.5Unf,6,3,1928,Gable,Wd Sdng,None,0,BrkTil,0,784,784,TA,784,0,784,0,0,1,2,1,TA,76000
60,RL,53107,Corner,ClearCr,1Fam,2Story,6,5,1992,Gable,HdBoard,None,0,PConc,985,595,1580,Ex,1079,874,1953,1,0,2,3,1,Gd,240000
120,RL,3182,Inside,Blmngtn,TwnhsE,1Story,8,5,2004,Gable,VinylSd,BrkFace,16,PConc,24,1232,1256,Ex,1269,0,1269,0,0,2,2,1,Gd,192000
50,RL,8410,FR2,Edwards,1Fam,1.5Fin,5,3,1910,Gambrel,Wd Sdng,None,0,PConc,0,658,658,TA,658,526,1184,0,0,1,5,1,TA,81000
80,RL,7200,Inside,Edwards,1Fam,SLvl,6,6,1976,Hip,MetalSd,BrkFace,255,CBlock,631,410,1041,Ex,1125,0,1125,1,0,1,3,1,TA,125000
20,RL,9382,CulDSac,CollgCr,1Fam,1Story,7,5,1999,Gable,VinylSd,BrkFace,125,PConc,0,1468,1468,Ex,1479,0,1479,0,0,2,3,1,Gd,191000
60,RL,12474,Inside,NridgHt,1Fam,2Story,10,5,2007,Gable,VinylSd,Stone,272,PConc,1280,402,1682,Ex,1742,590,2332,1,0,2,3,1,Ex,426000
50,RL,8405,Inside,Edwards,1Fam,1.5Fin,5,8,1900,Gable,MetalSd,None,0,BrkTil,241,229,861,Ex,961,406,1367,1,0,1,4,1,TA,119000
60,RL,12209,CulDSac,Mitchel,1Fam,2Story,6,5,2001,Gable,VinylSd,None,0,PConc,690,114,804,Ex,804,1157,1961,1,0,2,3,1,Gd,215000
20,RL,8339,Inside,NAmes,1Fam,1Story,5,7,1959,Gable,MetalSd,None,0,Slab,0,0,0,TA,882,0,882,0,0,1,3,1,TA,106500
30,RL,7446,Corner,BrkSide,1Fam,1Story,4,5,1941,Gable,WdShing,None,0,CBlock,266,522,788,TA,788,0,788,0,0,1,2,1,TA,100000
50,RL,10134,Inside,OldTown,1Fam,1.5Fin,5,6,1940,Gable,MetalSd,None,0,CBlock,0,735,735,Gd,735,299,1034,0,0,1,2,1,TA,109000
20,RL,9571,Inside,Edwards,1Fam,1Story,5,6,1956,Gable,Wd Sdng,None,0,CBlock,739,405,1144,TA,1144,0,1144,1,0,1,3,1,TA,129000
20,RL,7200,Inside,CollgCr,1Fam,1Story,5,5,1972,Hip,MetalSd,None,0,CBlock,777,117,894,TA,894,0,894,0,0,1,2,1,TA,123000
60,RL,7590,Inside,NAmes,1Fam,2Story,5,5,1962,Gable,VinylSd,BrkFace,288,CBlock,540,324,864,TA,876,936,1812,0,0,2,4,1,TA,169500
30,RM,8967,Corner,IDOTRR,1Fam,1Story,5,2,1920,Gable,MetalSd,None,0,BrkTil,0,961,961,Gd,1077,0,1077,0,0,1,2,1,TA,67000
60,FV,8125,Inside,Somerst,1Fam,2Story,7,5,2006,Gable,CemntBd,Stone,100,PConc,812,280,1092,Ex,1112,438,1550,1,0,2,2,1,Gd,241000
120,RL,14963,Inside,Veenker,TwnhsE,1Story,8,5,1996,Gable,BrkFace,None,0,PConc,786,474,1260,Ex,1288,0,1288,1,0,1,1,1,Ex,245500
20,RL,8767,Inside,CollgCr,1Fam,1Story,7,5,2005,Gable,VinylSd,None,0,PConc,24,1286,1310,Ex,1310,0,1310,0,0,2,3,1,Gd,164990
30,RL,10200,Inside,Sawyer,1Fam,1Story,5,8,1940,Gable,Wd Sdng,None,0,PConc,0,672,672,Ex,672,0,672,0,0,1,2,1,TA,108000
60,RL,12090,Corner,NoRidge,1Fam,2Story,8,5,1998,Hip,VinylSd,BrkFace,650,PConc,0,1141,1141,Gd,1165,1098,2263,0,0,2,4,1,Gd,258000
60,RL,10364,Inside,Gilbert,1Fam,2Story,6,5,1995,Gable,MetalSd,None,0,PConc,0,806,806,Gd,806,766,1572,0,0,2,3,1,TA,168000
20,RL,9991,Corner,Sawyer,1Fam,1Story,4,4,1976,Gable,Plywood,None,0,CBlock,1116,165,1281,Ex,1620,0,1620,1,0,2,3,1,TA,150000
50,RL,10480,Inside,SWISU,1Fam,1.5Fin,6,5,1936,Gable,MetalSd,None,0,BrkTil,0,1064,1064,Ex,1166,0,1639,0,0,1,3,1,TA,115000
70,RL,15576,Inside,Crawfor,1Fam,2Story,6,7,1915,Gable,Wd Sdng,None,0,BrkTil,0,840,840,Ex,840,840,1680,0,0,2,4,1,TA,177000
60,RL,14154,Corner,NridgHt,1Fam,2Story,7,5,2006,Gable,VinylSd,BrkFace,350,PConc,0,1063,1063,Ex,1071,1101,2172,0,0,2,3,1,Gd,280000
60,FV,10800,Inside,Somerst,1Fam,2Story,8,5,2007,Gable,VinylSd,Stone,100,PConc,789,245,1034,Ex,1050,1028,2078,1,0,2,3,1,Ex,339750
20,RL,9571,Inside,Edwards,1Fam,1Story,5,3,1958,Gable,BrkComm,None,0,CBlock,0,1276,1276,TA,1276,0,1276,0,0,1,3,1,TA,60000
190,RL,34650,Inside,Gilbert,2fmCon,1Story,5,5,1955,Hip,Wd Sdng,None,0,CBlock,1056,0,1056,TA,1056,0,1056,1,0,1,3,1,TA,145000
20,FV,4403,Inside,Somerst,1Fam,1Story,7,5,2009,Gable,MetalSd,Stone,432,PConc,578,892,1470,Ex,1478,0,1478,1,0,2,2,1,Gd,222000
30,RM,8960,Inside,OldTown,1Fam,1Story,5,6,1927,Gable,WdShing,None,0,CBlock,0,1008,1008,Gd,1028,0,1028,0,0,1,2,1,TA,115000
60,RL,11228,CulDSac,SawyerW,1Fam,2Story,7,5,1993,Gable,VinylSd,None,0,PConc,50,499,1080,Ex,1080,1017,2097,0,1,2,3,1,Gd,228000
20,RL,8899,Inside,Gilbert,1Fam,1Story,7,5,2007,Gable,VinylSd,None,0,PConc,24,1316,1340,Ex,1340,0,1340,0,0,2,3,1,Gd,181134
60,RL,7844,Inside,Sawyer,1Fam,2Story,6,7,1978,Hip,HdBoard,BrkFace,203,CBlock,209,463,672,TA,672,728,1400,0,0,1,3,1,TA,149500
70,RL,22420,Inside,Crawfor,1Fam,2Story,6,6,1918,Hip,Wd Sdng,None,0,BrkTil,1128,242,1370,TA,1370,1254,2624,1,0,2,4,1,TA,239000
50,RL,8160,Inside,Edwards,1Fam,1.5Fin,5,6,1940,Gable,MetalSd,None,0,BrkTil,312,444,756,Fa,756,378,1134,1,0,1,3,1,TA,126000
20,RL,8450,Inside,NAmes,1Fam,1Story,5,6,1968,Gable,VinylSd,None,0,CBlock,775,281,1056,Ex,1056,0,1056,1,0,1,3,1,TA,142000
90,RM,7060,Inside,Mitchel,Duplex,SFoyer,7,5,1997,Gable,VinylSd,BrkFace,200,PConc,1309,35,1344,Ex,1344,0,1344,2,0,2,2,2,TA,206300
20,RL,16635,FR2,NWAmes,1Fam,1Story,6,7,1977,Gable,CemntBd,Stone,126,CBlock,1246,356,1602,Gd,1602,0,1602,0,1,2,3,1,Gd,215000
20,RL,21750,Inside,Mitchel,1Fam,1Story,5,5,1954,Hip,HdBoard,None,0,CBlock,0,988,988,Ex,988,0,988,0,0,1,2,1,TA,113000
60,RL,9200,Inside,NoRidge,1Fam,2Story,8,5,1998,Gable,VinylSd,BrkFace,473,PConc,986,484,1470,Gd,1470,1160,2630,1,0,2,4,1,Gd,315000
20,RL,9000,Inside,NAmes,1Fam,1Story,6,5,1956,Gable,Wd Sdng,BrkFace,74,CBlock,616,580,1196,Gd,1196,0,1196,1,0,1,2,1,TA,139000
60,RM,3378,Inside,OldTown,1Fam,2Story,7,8,1946,Gable,HdBoard,None,0,CBlock,0,651,651,Gd,707,682,1389,0,0,1,3,1,TA,135000
80,RL,12800,Inside,SawyerW,1Fam,SLvl,7,5,1989,Gable,Wd Sdng,BrkFace,145,PConc,1518,0,1518,Gd,1644,0,1644,1,1,2,2,1,Gd,275000
20,RL,8593,Inside,NAmes,1Fam,1Story,4,6,1957,Hip,MetalSd,None,0,CBlock,288,619,907,Ex,907,0,907,0,0,1,3,1,TA,109008
20,RL,6762,Inside,CollgCr,1Fam,1Story,7,5,2007,Gable,VinylSd,BrkFace,108,PConc,664,544,1208,Ex,1208,0,1208,1,0,2,2,1,Gd,195400
20,RL,11457,Corner,Timber,1Fam,1Story,6,5,1988,Gable,HdBoard,None,0,CBlock,1005,387,1392,TA,1412,0,1412,1,0,2,3,1,Gd,175000
160,RM,1680,Inside,BrDale,Twnhs,2Story,6,5,1971,Gable,HdBoard,BrkFace,232,CBlock,387,96,483,TA,483,504,987,0,0,1,2,1,TA,85400
50,RM,5586,Inside,OldTown,1Fam,1.5Fin,6,7,1920,Gable,MetalSd,None,0,BrkTil,0,901,901,Gd,1088,110,1198,0,0,1,4,1,TA,79900
160,RM,1920,Inside,BrDale,TwnhsE,2Story,5,5,1971,Gable,HdBoard,BrkFace,376,CBlock,471,294,765,Ex,765,600,1365,1,0,1,2,1,TA,122500
60,RL,10839,Corner,Gilbert,1Fam,2Story,6,5,1997,Gable,VinylSd,None,0,PConc,0,926,926,Ex,926,678,1604,0,0,2,3,1,TA,181000
180,RM,1890,Inside,MeadowV,Twnhs,SFoyer,4,7,1972,Gable,CemntBd,None,0,CBlock,495,135,630,Gd,630,0,630,1,0,1,1,1,TA,81000
60,RL,10667,CulDSac,CollgCr,1Fam,2Story,7,6,1996,Gable,VinylSd,None,0,PConc,385,70,799,Ex,827,834,1661,1,0,2,3,1,Gd,212000
50,RM,4400,Inside,OldTown,1Fam,1.5Fin,6,8,1920,Gable,Stucco,None,0,BrkTil,0,648,648,TA,734,384,1118,0,0,1,2,1,TA,116000
45,RM,6000,Inside,BrkSide,1Fam,1.5Unf,6,7,1926,Gable,Wd Sdng,None,0,PConc,0,884,884,Gd,904,0,904,0,0,1,2,1,TA,119000
30,RL,4280,Inside,Crawfor,1Fam,1Story,5,6,1913,Gable,WdShing,None,0,PConc,365,75,440,TA,694,0,694,0,0,1,2,1,Gd,90350
50,RL,12354,Corner,Edwards,1Fam,1.5Fin,6,8,1920,Gable,Wd Sdng,None,0,BrkTil,0,684,684,Gd,684,512,1196,0,0,1,3,1,Gd,110000
20,RL,15431,Inside,NridgHt,1Fam,1Story,10,5,2008,Hip,VinylSd,Stone,200,PConc,1767,788,3094,Ex,2402,0,2402,1,0,2,2,1,Ex,555000
90,RL,12108,Inside,Edwards,Duplex,1Story,4,4,1955,Gable,VinylSd,BrkFace,270,CBlock,133,1307,1440,TA,1440,0,1440,0,0,2,4,2,Fa,118000
50,RM,6240,Inside,BrkSide,1Fam,1.5Fin,5,7,1930,Gable,MetalSd,None,0,PConc,0,1078,1078,TA,1128,445,1573,0,0,2,3,1,TA,162900
120,RL,3922,Inside,Blmngtn,TwnhsE,1Story,7,5,2006,Gable,WdShing,BrkFace,72,PConc,0,1258,1258,Ex,1258,0,1258,0,0,2,2,1,Gd,172500
60,RL,8750,Inside,CollgCr,1Fam,2Story,7,5,1994,Gable,VinylSd,None,0,PConc,642,273,915,Ex,933,975,1908,1,0,2,4,1,Gd,210000
20,RL,9855,Corner,Edwards,1Fam,1Story,6,5,1956,Hip,Wd Sdng,None,0,CBlock,0,1436,1436,Fa,1689,0,1689,0,0,1,3,1,TA,127500
20,RL,16492,Corner,NAmes,1Fam,1Story,6,6,1966,Gable,BrkFace,None,0,CBlock,247,557,1517,Ex,1888,0,1888,0,0,2,2,1,Gd,190000
60,RL,11214,Corner,Gilbert,1Fam,2Story,7,5,1998,Gable,VinylSd,None,0,PConc,0,930,930,Gd,956,930,1886,0,0,2,4,1,Gd,199900
50,RM,8600,Inside,IDOTRR,1Fam,1.5Fin,6,6,1937,Gable,MetalSd,None,0,BrkTil,0,780,780,TA,780,596,1376,0,0,2,3,1,TA,119500
50,RM,6000,Inside,OldTown,1Fam,1.5Fin,3,7,1948,Gable,MetalSd,None,0,CBlock,331,318,649,Ex,679,504,1183,0,0,1,2,1,TA,120000
30,RM,5684,Inside,OldTown,1Fam,1Story,6,8,1930,Hip,Wd Sdng,None,0,BrkTil,0,813,813,Ex,813,0,813,0,0,1,2,1,Gd,110000
20,RL,70761,Inside,ClearCr,1Fam,1Story,7,5,1975,Gable,Plywood,None,0,CBlock,655,878,1533,TA,1533,0,1533,1,0,2,2,1,Gd,280000
60,RL,9303,Corner,Timber,1Fam,2Story,6,5,1996,Hip,VinylSd,BrkFace,42,PConc,742,130,872,Ex,888,868,1756,1,0,2,3,1,TA,204000
60,FV,9000,Inside,Somerst,1Fam,2Story,8,5,2008,Gable,VinylSd,None,0,PConc,0,768,768,Ex,786,804,1590,0,0,2,3,1,Gd,210000
90,RL,9297,Inside,Mitchel,Duplex,1Story,5,5,1976,Gable,Plywood,None,0,CBlock,1606,122,1728,TA,1728,0,1728,2,0,2,4,2,TA,188000
20,RL,9600,Inside,NWAmes,1Fam,1Story,7,6,1973,Hip,HdBoard,BrkFace,320,CBlock,916,326,1242,Fa,1242,0,1242,0,0,1,3,1,TA,175500
70,RM,4571,Inside,OldTown,1Fam,2Story,5,5,1916,Gable,AsbShng,None,0,BrkTil,0,624,624,Fa,624,720,1344,0,0,1,4,1,TA,98000
20,RL,53227,CulDSac,ClearCr,1Fam,1Story,4,6,1954,Flat,Plywood,None,0,CBlock,1116,248,1364,Ex,1663,0,1663,1,0,1,2,1,Gd,256000
70,RM,5100,Inside,OldTown,1Fam,2Story,8,7,1925,Hip,Stucco,None,0,PConc,0,588,588,Fa,833,833,1666,0,0,1,3,1,Gd,161000
50,RL,7015,Corner,BrkSide,1Fam,1.5Fin,5,4,1950,Gable,MetalSd,BrkCmn,161,CBlock,185,524,709,TA,979,224,1203,1,0,1,3,1,Gd,110000
60,FV,8004,Inside,Somerst,1Fam,2Story,8,5,2009,Gable,VinylSd,Stone,110,PConc,544,288,832,Ex,832,1103,1935,1,0,2,3,1,TA,263435
70,RL,7200,Inside,SWISU,1Fam,2Story,7,9,1936,Gable,Wd Sdng,None,0,PConc,350,0,560,Ex,575,560,1135,1,0,1,3,1,Gd,155000
20,RL,8281,Inside,Sawyer,1Fam,1Story,5,5,1965,Gable,MetalSd,None,0,CBlock,553,0,864,Gd,864,0,864,0,0,1,3,1,TA,62383
70,RL,11988,Inside,Crawfor,1Fam,2Story,6,7,1934,Hip,Stucco,None,0,CBlock,326,389,715,Fa,849,811,1660,0,0,1,3,1,TA,188700
20,RL,8430,Inside,CollgCr,1Fam,1Story,5,5,1978,Gable,HdBoard,BrkFace,136,CBlock,616,424,1040,TA,1040,0,1040,0,0,2,3,1,TA,124000
120,RM,3072,Inside,Blmngtn,TwnhsE,1Story,7,5,2004,Hip,VinylSd,BrkFace,18,PConc,0,1375,1375,Ex,1414,0,1414,0,0,2,2,1,Gd,178740
20,RL,10628,Inside,NAmes,1Fam,1Story,7,5,1970,Flat,Plywood,None,0,CBlock,778,499,1277,TA,1277,0,1277,1,0,1,2,1,TA,167000
70,RL,9480,Inside,NAmes,1Fam,2Story,5,7,1942,Gable,MetalSd,Stone,224,CBlock,386,342,728,Ex,888,756,1644,0,0,1,3,1,Gd,146500
20,RL,11428,Inside,NridgHt,1Fam,1Story,8,5,2006,Gable,VinylSd,Stone,248,PConc,0,1626,1626,Ex,1634,0,1634,0,0,2,3,1,Gd,250000
60,RL,9291,Corner,SawyerW,1Fam,2Story,6,5,1993,Gable,HdBoard,BrkFace,120,PConc,426,406,832,Ex,832,878,1710,0,0,2,3,1,Gd,187000
120,RL,6820,Corner,StoneBr,TwnhsE,1Story,8,5,1985,Gable,HdBoard,None,0,PConc,368,0,1488,TA,1502,0,1502,1,0,1,1,1,Gd,212000
60,RL,11952,Inside,NWAmes,1Fam,2Story,7,6,1977,Mansard,WdShing,None,0,CBlock,0,808,808,TA,1161,808,1969,0,0,2,3,1,TA,190000
180,RM,3675,Inside,Edwards,TwnhsE,SLvl,6,5,2005,Gable,VinylSd,BrkFace,80,PConc,459,88,547,Ex,1072,0,1072,1,0,1,2,1,TA,148000
20,RL,14977,Inside,NridgHt,1Fam,1Story,8,5,2006,Gable,VinylSd,BrkFace,304,PConc,1350,626,1976,Ex,1976,0,1976,1,0,2,2,1,Gd,440000
120,RL,5330,Inside,StoneBr,TwnhsE,1Story,8,5,2000,Gable,CemntBd,None,0,PConc,1196,298,1494,Ex,1652,0,1652,1,0,2,2,1,Ex,251000
20,RL,8480,Corner,Sawyer,1Fam,1Story,5,6,1963,Hip,HdBoard,None,0,CBlock,630,340,970,TA,970,0,970,1,0,1,2,1,TA,132500
20,RL,13125,Inside,CollgCr,1Fam,1Story,6,5,1997,Gable,VinylSd,BrkFace,215,PConc,994,484,1478,Ex,1493,0,1493,1,0,2,3,1,Gd,208900
60,RL,13693,Inside,NridgHt,1Fam,2Story,9,5,2006,Hip,VinylSd,BrkFace,772,PConc,0,2153,2153,Ex,2069,574,2643,0,0,2,3,1,Ex,380000
20,RL,10637,Inside,CollgCr,1Fam,1Story,8,5,2007,Hip,VinylSd,Stone,336,PConc,1288,417,1705,Ex,1718,0,1718,1,0,2,3,1,Gd,297000
30,RM,5925,Inside,OldTown,1Fam,1Story,4,7,1937,Hip,Stucco,BrkCmn,435,BrkTil,168,739,907,TA,1131,0,1131,0,0,1,2,1,TA,89471
20,RL,16033,FR2,NridgHt,1Fam,1Story,9,5,2004,Hip,VinylSd,BrkFace,378,PConc,1261,572,1833,Ex,1850,0,1850,1,0,2,3,1,Gd,326000
20,RL,11846,Inside,NridgHt,1Fam,1Story,9,5,2003,Hip,VinylSd,BrkFace,562,PConc,1567,225,1792,Ex,1792,0,1792,1,0,2,2,1,Ex,374000
70,RM,2500,Corner,OldTown,1Fam,2Story,7,8,1915,Gable,Stucco,None,0,PConc,299,611,910,Ex,916,910,1826,1,0,1,4,1,Ex,155000
120,RM,4500,FR2,Mitchel,Twnhs,1Story,6,5,1998,Hip,VinylSd,BrkFace,116,PConc,897,319,1216,Ex,1216,0,1216,1,0,2,2,1,TA,164000
20,RL,7758,Corner,Sawyer,1Fam,1Story,5,7,1962,Gable,HdBoard,None,0,CBlock,588,411,999,Gd,999,0,999,1,0,1,3,1,Gd,132500
20,RL,9600,Inside,NAmes,1Fam,1Story,5,7,1950,Gable,MetalSd,None,0,CBlock,607,506,1113,Gd,1113,0,1113,0,0,1,3,1,Gd,147000
20,RL,10289,Inside,NAmes,1Fam,1Story,5,7,1965,Hip,MetalSd,BrkFace,168,CBlock,836,237,1073,TA,1073,0,1073,1,0,1,3,1,TA,156000
20,RL,12243,Inside,NWAmes,1Fam,1Story,5,6,1971,Gable,Plywood,None,0,CBlock,998,486,1484,Gd,1484,0,1484,0,0,2,3,1,TA,175000
190,RL,10800,Corner,OldTown,2fmCon,1.5Fin,5,4,1900,Gable,Wd Sdng,None,0,CBlock,664,290,954,TA,1766,648,2414,0,0,2,3,2,TA,160000
180,RM,1526,Inside,MeadowV,Twnhs,SFoyer,4,8,1970,Gable,CemntBd,None,0,CBlock,515,115,630,TA,630,0,630,1,0,1,1,1,Gd,86000
160,RM,2665,Inside,MeadowV,TwnhsE,2Story,5,6,1976,Gable,CemntBd,None,0,PConc,0,264,264,TA,616,688,1304,0,0,1,3,1,TA,115000
50,RL,9490,Inside,NAmes,1Fam,1.5Fin,6,7,1941,Gable,Wd Sdng,None,0,CBlock,403,238,806,TA,958,620,1578,1,0,1,3,1,Fa,133000
60,RL,15578,Corner,Gilbert,1Fam,2Story,6,5,2006,Gable,VinylSd,None,0,PConc,0,728,728,Gd,728,728,1456,0,0,2,3,1,TA,172785
20,RL,7931,Inside,NAmes,1Fam,1Story,5,6,1960,Gable,BrkFace,None,0,CBlock,374,363,1269,TA,1269,0,1269,0,0,1,3,1,TA,155000
30,RM,5784,Inside,OldTown,1Fam,1Story,5,8,1938,Gable,MetalSd,None,0,BrkTil,0,190,190,Gd,886,0,886,0,0,1,2,1,TA,91300
30,C (all),7879,Inside,IDOTRR,1Fam,1Story,4,5,1920,Gable,Wd Sdng,None,0,CBlock,495,225,720,TA,720,0,720,0,0,1,2,1,TA,34900
20,RL,12692,Inside,NoRidge,1Fam,1Story,8,5,1992,Hip,BrkFace,None,0,PConc,1231,1969,3200,Ex,3228,0,3228,1,0,3,4,1,Gd,430000
50,RL,9120,Inside,BrkSide,1Fam,1.5Fin,7,6,1925,Gable,Wd Sdng,None,0,PConc,329,697,1026,Ex,1133,687,1820,1,0,2,4,1,TA,184000
20,RL,7800,Inside,Sawyer,1Fam,1Story,5,7,1967,Hip,HdBoard,BrkFace,89,PConc,450,414,864,Ex,899,0,899,0,0,1,3,1,Gd,130000
20,RL,7535,Inside,NAmes,1Fam,1Story,5,7,1958,Gable,MetalSd,None,0,CBlock,111,522,912,Fa,912,0,912,0,1,1,2,1,TA,120000
160,RM,1890,Inside,BrDale,Twnhs,2Story,6,5,1973,Gable,HdBoard,BrkFace,285,CBlock,356,316,672,TA,672,546,1218,0,0,1,3,1,TA,113000
60,FV,9803,Inside,Somerst,1Fam,2Story,7,5,2005,Gable,VinylSd,None,0,PConc,400,466,866,Gd,866,902,1768,0,0,2,3,1,Gd,226700
20,RL,9170,Corner,Edwards,1Fam,1Story,5,7,1965,Hip,MetalSd,None,0,CBlock,698,420,1214,Ex,1214,0,1214,1,0,1,2,1,TA,140000
20,RL,15602,Inside,Crawfor,1Fam,1Story,7,8,1959,Gable,BrkFace,None,0,CBlock,1247,254,1501,TA,1801,0,1801,1,0,2,1,1,TA,289000
160,RL,2308,Inside,NPkVill,TwnhsE,2Story,6,5,1974,Gable,Plywood,None,0,CBlock,257,103,855,TA,855,467,1322,0,1,2,3,1,TA,147000
90,RM,7596,Inside,OldTown,Duplex,2Story,5,5,1952,Hip,Wd Sdng,BrkFace,360,CBlock,0,960,960,Gd,960,1000,1960,0,0,2,4,2,TA,124500
60,RL,9554,Inside,SawyerW,1Fam,2Story,8,5,1993,Gable,VinylSd,BrkFace,125,PConc,380,397,777,Ex,1065,846,1911,0,0,2,3,1,Gd,215000
20,FV,7862,Inside,Somerst,1Fam,1Story,6,5,2009,Gable,VinylSd,None,0,PConc,27,1191,1218,Ex,1218,0,1218,0,0,2,2,1,Gd,208300
70,RM,9600,Inside,OldTown,1Fam,2Story,7,9,1928,Gambrel,MetalSd,None,0,BrkTil,141,548,689,Ex,689,689,1378,0,0,2,3,1,Gd,161000
20,RL,9600,Corner,NAmes,1Fam,1Story,5,6,1959,Gable,MetalSd,BrkFace,132,CBlock,991,50,1041,Ex,1041,0,1041,1,0,1,3,1,TA,124500
20,RL,14559,Inside,NAmes,1Fam,1Story,5,7,1951,Hip,Wd Sdng,BrkCmn,70,CBlock,650,178,1008,Ex,1363,0,1363,1,0,1,2,1,TA,164900
120,RL,6792,Inside,NridgHt,TwnhsE,1Story,7,5,2005,Gable,VinylSd,Stone,94,PConc,0,1368,1368,Ex,1368,0,1368,0,0,2,2,1,Gd,202665
20,RL,9100,Corner,NAmes,1Fam,1Story,5,5,1958,Gable,VinylSd,None,0,CBlock,521,169,864,TA,864,0,864,1,0,1,3,1,TA,129900
20,RL,9187,Corner,Mitchel,1Fam,1Story,6,5,1983,Gable,VinylSd,None,0,PConc,336,748,1084,TA,1080,0,1080,0,0,1,3,1,TA,134000
45,RL,10594,Inside,Crawfor,1Fam,1.5Unf,5,5,1926,Gable,Wd Sdng,None,0,BrkTil,0,768,768,Fa,789,0,789,0,0,1,2,1,TA,96500
